time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
199800,2019-10-10 19:00:03,19.2833681832273,-99.1386495929942,0,Available with any HD 360 subscription,Available with any HD 360 subscription,7352.4497474175,0,0,11,0,0,7352.4497474175,0,0,0,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
199900,2019-10-10 19:00:03,19.2833680840577,-99.1386495943344,0,,,7352.4497474175,0,0.036185040528,11,0,0,7352.4497474175,0,0,0.036185040528,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200000,2019-10-10 19:00:03,19.2833680853566,-99.1386495954866,0,,,7352.4497474175,0,0.03571850508,11,0,0,7352.4497474175,0,0,0.036185040528,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200100,2019-10-10 19:00:03,19.2833680864928,-99.1386495972609,0,,,7352.4497474175,0,0.035324148112,11,0,0,7352.4497474175,0,0,0.036185040528,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200200,2019-10-10 19:00:03,19.2833680670505,-99.1386496099192,0,,,7352.4497474175,0,0.042785762524,11,0,0,7352.4497474175,0,0,0.042785762524,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200300,2019-10-10 19:00:03,19.2833680677479,-99.1386497110758,0,,,7352.4497474175,0,0.058555776152,11,0,0,7352.4497474175,0,0,0.058555776152,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200400,2019-10-10 19:00:03,19.2833680682911,-99.1386497127416,0,,,7352.4497474175,0,0.058814306344,11,0,0,7352.4497474175,0,0,0.058814306344,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200500,2019-10-10 19:00:03,19.2833680766033,-99.138649712628,0,,,7352.4497474175,0,0.05666338764,11,0,0,7352.4497474175,0,0,0.058814306344,0,0,0,306.9, 1.7, 0.4,0,0,364,364,364,1684,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0,111.11,7352.4497474175,0,6,P-GPS,
200600,2019-10-10 19:00:04,19.2833680766532,-99.1386497141895,0,,,7352.4497474175,0,0.057043308912,11,0,15.897,7352.4497474175,0,0,0.058814306344,0,0,0,306.9, 1.7, 0.4,0,0,478,750,592,1372,311.4,4.2,81,3.975,3.976,3.965,3.981,0,0,0.937,111.11,7352.4497474175,0,6,P-GPS,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 412
200700,2019-10-10 19:00:04,19.2833680766226,-99.1386497147656,0,,,7352.4497474175,0,0.052847442636,11,0,15.897,7352.4497474175,0,0,0.058814306344,0,0,0,306.9, 1.7, 0.4,0,0,1024,1024,1024,1024,310.2,4.2,81,3.975,3.976,3.965,3.981,0,0,0.937,111.11,7352.4497474175,0,6,P-GPS,
